"","WBID","WATERBODY_NAME","NewUse","Use","CharacteristicName","ResultSampleFractionText","Assessed","binomial","No","Yes","sampcount","existimpair","paramcarryforward","newassess","actualsampneed","provassess","provdate","provcomment","provdatetext"
"18","15020010-1700","WOODS CANYON LAKE ","AWCChronic","AWC","LEAD","Dissolved","Not meeting criteria","No",0,3,3,"New Impairment","Current",3,0,1,NA,"Not impaired.  Hardness nondetect with MRL of 33 ug/L.","44179"
"19","15030101-0590","LAKE HAVASU ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",14,6,20,"New Impairment","Current",3,0,3,NA,"Impairment confirmed.  Stable conditions present for exceedances.  4 exceedances 14 samples.","43462"
"20","15030101-0960","LAKE MOHAVE ","AWCChronic","AWC","SELENIUM","Total","Not meeting criteria","No",3,3,6,"New Impairment","Current",3,0,1,NA,"Not impaired.  3/5/17 sample split did not agree with regular sample.","44158"
"21","15030107-001","COLORADO RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",87,13,100,"Existing Impairment","Current",3,1,3,NA,NA,NA
"22","15040005-020","GILA RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",5,2,7,"New Impairment","Current",3,0,1,NA,"Not impaired.  Storm spike on 8/7/18 based on USGS hydrograph.","44082"
"23","15050100-012D","MINERAL CREEK (MIN) ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",1,7,8,"New Impairment","Current",3,0,3,NA,"Impaired.","44249"
"24","15050100-014A","QUEEN CREEK ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",1,5,6,"Existing Impairment","Current",3,0,3,NA,NA,NA
"25","15050202-003","SAN PEDRO RIVER ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",10,2,12,"New Impairment","Current",3,0,1,NA,"Not impaired.  8/3/16 sample 'flash flood' in comments.  7/17/17 sample also stormflow.","43595"
"26","15050202-003","SAN PEDRO RIVER ","FBC","FBC","ECOLIGEO","Total","Not meeting criteria","No",1,5,6,"New Impairment","Current",3,0,0,NA,"Not impaired.  Single sample maximum e. coli already picked up this impairment.","44095"
"27","15050202-004","BABOCOMARI RIVER ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,3,NA,"Impaired.","44011"
"28","15050202-006","SAN PEDRO RIVER ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",6,2,8,"New Impairment","Current",3,0,3,NA,"Existing impairment","43706"
"29","15050202-008","SAN PEDRO RIVER ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",10,4,14,"Existing Impairment","Current",3,0,3,NA,NA,NA
"30","15050202-008","SAN PEDRO RIVER ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",8,3,11,"Existing Impairment","Current",3,0,3,NA,"Remains impaired. Needs more data over all seasons.","43658"
"31","15050202-394","CURRY DRAW ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",4,3,7,"New Impairment","Current",3,0,3,NA,"Not impaired.  Both exceedances collected during stormflow (unstable conditions).","44249"
"32","15050202-425","GREENBUSH DRAW ","PBC","PBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,3,NA,"Impaired.  July and Sept 2019 samples both storm samples.  Based on IWIR both would be impaired.","43885"
"33","15050203-003","SAN PEDRO RIVER ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,3,NA,"Impaired.  Both exceeding samples collected under normal flow.","44176"
"34","15050203-003","SAN PEDRO RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",5,3,8,"New Impairment","Current",3,0,3,NA,"Impaired. Exceedances on 10/25/18 and 9/19/19.  Comments indicate normal stable conditions for both samples.  NOAA shows no significant rain for 4 days before sampling.","43749"
"35","15050203-022A","COPPER CREEK ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",0,6,6,"Existing Impairment","Current",3,0,3,NA,NA,NA
"36","15050203-022A","COPPER CREEK ","AWWChronic","AWW","IRON","Dissolved","Not meeting criteria","No",3,3,6,"Existing Impairment","Current",3,0,3,NA,NA,NA
"37","15050301-001","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","AMMONIA-NITROGEN","Total","Not meeting criteria","No",19,5,24,"Existing Impairment","Current",3,0,2,NA,"Exceedances prior to WWTP upgrade and excluded.","44179"
"38","15050301-001","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","CHLORINE","Total","Not meeting criteria","No",0,11,11,"New Impairment","Current",3,1,2,NA,"Exceedances prior to WWTP upgrade and excluded.","44179"
"39","15050301-001","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","MERCURY","Dissolved","Not meeting criteria","No",2,2,4,"New Impairment","Current",3,0,2,NA,"Exceedances prior to WWTP upgrade and excluded.","44179"
"40","15050301-003B","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","AMMONIA-NITROGEN","Total","Not meeting criteria","No",4,2,6,"New Impairment","Current",3,0,2,NA,"Exceedances prior to WWTP upgrade and excluded.","44179"
"41","15050301-003B","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","CHLORINE","Total","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,2,NA,"Exceedances prior to WWTP upgrade and excluded.","44179"
"42","15050301-008A","SANTA CRUZ RIVER ","PBC","PBC","ECOLIGEO","Total","Not meeting criteria","No",12,20,32,"New Impairment","Current",3,0,0,NA,"Not impaired.  Single sample maximum e. coli already picked up this impairment.","44095"
"43","15050301-008A","SANTA CRUZ RIVER ","PBC","PBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",29,17,46,"Existing Impairment","Current",3,1,3,NA,NA,NA
"44","15050301-008B","SANTA CRUZ RIVER ","PBC","PBC","ECOLIGEO","Total","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,0,NA,"Not impaired.  Single sample maximum e. coli already picked up this impairment.","44095"
"45","15050301-008B","SANTA CRUZ RIVER ","PBC","PBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",5,7,12,"Existing Impairment","Current",3,0,3,NA,NA,NA
"46","15050301-009","SANTA CRUZ RIVER ","PBC","PBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",8,4,12,"Existing Impairment","Current",3,0,3,NA,NA,NA
"47","15050301-009","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","NICKEL","Dissolved","Not meeting criteria","No",11,2,13,"New Impairment","Current",3,0,3,NA,"Existing impairment.","43706"
"48","15050301-013C","SONOITA CREEK ","AWWChronic","AWW","ZINC","Dissolved","Not meeting criteria","No",7,2,9,"Existing Impairment","Current",3,0,3,NA,"Remains Impaired.  Was on draft 2020 delist but subsequent data indicates impairment still present.","44224"
"49","15050301-1070","PENA BLANCA LAKE ","AWWChronic","AWW","MERCURY","Dissolved","Not meeting criteria","No",0,3,3,"New Impairment","Current",3,0,3,NA,"Impaired.  Two exceedances collected under stable conditions.  Exclude 9/5/12 stormflow.  Not already impaired for mercury fish consumption.","44180"
"50","15050301-340","HUMBOLDT CANYON ","AWWAcute","AWW","CADMIUM","Dissolved","Not meeting criteria","No",0,2,2,"Existing Impairment","Current",3,0,3,NA,NA,NA
"51","15050301-340","HUMBOLDT CANYON ","AWWChronic","AWW","CADMIUM","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"52","15050301-340","HUMBOLDT CANYON ","AWWAcute","AWW","COPPER","Dissolved","Not meeting criteria","No",0,2,2,"Existing Impairment","Current",3,0,3,NA,NA,NA
"53","15050301-340","HUMBOLDT CANYON ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"54","15050301-340","HUMBOLDT CANYON ","AWWChronic","AWW","LEAD","Dissolved","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,1,NA,"Not impaired.  Both exceedances collected during stormflow.","44082"
"55","15050301-340","HUMBOLDT CANYON ","AWWAcute","AWW","ZINC","Dissolved","Not meeting criteria","No",0,2,2,"Existing Impairment","Current",3,0,3,NA,NA,NA
"56","15050301-340","HUMBOLDT CANYON ","AWWChronic","AWW","ZINC","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"57","15050301-500B","POTRERO CREEK ","FBC","FBC","ECOLIGEO","Total","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,0,NA,"Already captured by E coli SSM.","44180"
"58","15050301-500B","POTRERO CREEK ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",2,10,12,"Existing Impairment","Current",3,1,3,NA,NA,NA
"59","15050301-558B","THREE R CANYON ","AWWAcute","AWW","CADMIUM","Dissolved","Not meeting criteria","No",1,2,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"60","15050301-558B","THREE R CANYON ","AWWChronic","AWW","CADMIUM","Dissolved","Not meeting criteria","No",1,3,4,"Existing Impairment","Current",3,0,3,NA,NA,NA
"61","15050301-558B","THREE R CANYON ","AWWAcute","AWW","COPPER","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"62","15050301-558B","THREE R CANYON ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",0,4,4,"Existing Impairment","Current",3,0,3,NA,NA,NA
"63","15050301-558B","THREE R CANYON ","AWWChronic","AWW","NICKEL","Dissolved","Not meeting criteria","No",1,3,4,"New Impairment","Current",3,0,3,NA,"Impaired. Exceedances collected under stable conditions.  Site notes indicate normal flow conditions and no precipitation within week of sampling.","44013"
"64","15050301-558B","THREE R CANYON ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",1,3,4,"New Impairment","Current",3,0,3,NA,"Impaired. Exceedances collected under stable conditions.  Site notes indicate normal flow conditions and no precipitation within week of sampling.","44013"
"65","15050301-558B","THREE R CANYON ","AWWAcute","AWW","ZINC","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"66","15050301-558B","THREE R CANYON ","AWWChronic","AWW","ZINC","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"67","15050301-558C","THREE R CANYON ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",0,3,3,"Existing Impairment","Current",3,0,3,NA,NA,NA
"68","15050301-561B","ALUM GULCH ","AWWAcute","AWW","CADMIUM","Dissolved","Not meeting criteria","No",1,9,10,"Existing Impairment","Current",3,0,3,NA,NA,NA
"69","15050301-561B","ALUM GULCH ","AWWChronic","AWW","CADMIUM","Dissolved","Not meeting criteria","No",0,11,11,"Existing Impairment","Current",3,1,3,NA,NA,NA
"70","15050301-561B","ALUM GULCH ","AWWAcute","AWW","COPPER","Dissolved","Not meeting criteria","No",0,10,10,"Existing Impairment","Current",3,1,3,NA,NA,NA
"71","15050301-561B","ALUM GULCH ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",0,11,11,"Existing Impairment","Current",3,1,3,NA,NA,NA
"72","15050301-561B","ALUM GULCH ","AWWAcute","AWW","LEAD","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,3,NA,"Impaired.  2 acute exceedances out of 3 samples","43784"
"73","15050301-561B","ALUM GULCH ","AWWChronic","AWW","LEAD","Dissolved","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,1,NA,"Not impaired.  All exceedances collected during stormflow.","44224"
"74","15050301-561B","ALUM GULCH ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,1,NA,"Not impaired.  All exceedances collected during stormflow.","44224"
"75","15050301-561B","ALUM GULCH ","AWWAcute","AWW","ZINC","Dissolved","Not meeting criteria","No",0,10,10,"Existing Impairment","Current",3,1,3,NA,NA,NA
"76","15050301-561B","ALUM GULCH ","AWWChronic","AWW","ZINC","Dissolved","Not meeting criteria","No",0,11,11,"Existing Impairment","Current",3,1,3,NA,NA,NA
"77","15050302-153A","DAVIDSON CANYON ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",2,2,4,"New Impairment","Current",3,0,3,NA,"Impaired.  2 acute exceedances.","44095"
"78","15050302-153B","DAVIDSON CANYON ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",6,2,8,"New Impairment","Current",3,0,2,NA,"Not impaired.  Both exceedances collected during stormflow.","44102"
"79","15050302-153B","DAVIDSON CANYON ","AWWChronic","AWW","LEAD","Dissolved","Not meeting criteria","No",6,2,8,"New Impairment","Current",3,0,2,NA,"Not impaired.  Both exceedances collected during stormflow.","44102"
"80","15050302-153B","DAVIDSON CANYON ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",4,3,7,"New Impairment","Current",3,0,1,NA,"Not impaired.  Both exceedances collected during stormflow.","43784"
"81","15050303-005A","SANTA CRUZ RIVER ","AWEDWChronic","AWEDW","CHLORINE","Total","Not meeting criteria","No",0,9,9,"New Impairment","Current",3,0,0,NA,"Not impaired.  Results below detection limit but above standard.","44224"
"82","15060103-018A","PINTO CREEK ","AWCAcute","AWC","COPPER","Dissolved","Not meeting criteria","No",3,3,6,"Existing Impairment","Current",3,0,3,NA,"Remains Impaired.","43606"
"83","15060103-018A","PINTO CREEK ","AWCChronic","AWC","COPPER","Dissolved","Not meeting criteria","No",2,4,6,"Existing Impairment","Current",3,0,3,NA,"Remains Impaired.","43606"
"84","15060103-018B","PINTO CREEK ","AWWAcute","AWW","COPPER","Dissolved","Not meeting criteria","No",2,9,11,"Existing Impairment","Current",3,0,3,NA,NA,NA
"85","15060103-018B","PINTO CREEK ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",1,12,13,"Existing Impairment","Current",3,1,3,NA,NA,NA
"86","15060103-018B","PINTO CREEK ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,1,NA,"Not impaired.  8/12/18 and 10/14/18 samples were stormflow and not collected under stable conditions.","43644"
"87","15060103-885","FIVE POINT MOUNTAIN TRIBUTARY ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",0,8,8,"Existing Impairment","Current",3,0,3,NA,NA,NA
"88","15060103-887","GIBSON MINE TRIBUTARY ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",0,5,5,"Existing Impairment","Current",3,0,3,NA,NA,NA
"89","15060105-013A","TONTO CREEK (TON) ","FBC","FBC","ECOLIGEO","Total","Not meeting criteria","No",2,4,6,"New Impairment","Current",3,0,0,NA,"Impairment counted by SSM.","44176"
"90","15060105-455B","BARNHARDT CREEK ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",2,2,4,"New Impairment","Current",3,0,3,NA,"Existing impairment","43706"
"91","15060106B-179","INDIAN BEND WASH ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,3,NA,"Impaired.","43948"
"92","15060202-018A","OAK CREEK ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",11,2,13,"Existing Impairment","Current",3,0,3,NA,"Remains impaired.  Although all 6 E. coli samples meet standards only 2 were sampled during the summer recreation season.  Neither of these samples is a stormflow which is also part of the critical condition.","44172"
"93","15060202-018B","OAK CREEK ","FBC","FBC","ECOLIGEO","Total","Not meeting criteria","No",12,2,14,"New Impairment","Current",3,0,0,NA,"Impairment counted by SSM.","44176"
"94","15060202-018C","OAK CREEK ","FBC","FBC","ECOLIGEO","Total","Not meeting criteria","No",5,2,7,"New Impairment","Current",3,0,0,NA,"Impairment counted by SSM.","44176"
"95","15060202-018C","OAK CREEK ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",14,2,16,"Existing Impairment","Current",3,0,3,NA,"Remains impaired. Needs more data over all seasons.","43588"
"96","15060202-025","VERDE RIVER ","FBC","FBC","ECOLIGEO","Total","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,0,NA,"Not impaired.  Single sample maximum e. coli already picked up this impairment.","44095"
"97","15060202-025","VERDE RIVER ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",8,3,11,"Existing Impairment","Current",3,0,3,NA,"Remains impaired. Needs more data over all seasons.","43658"
"98","15060202-767","MILLER CREEK ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",4,3,7,"Existing Impairment","Current",3,0,3,NA,NA,NA
"99","15060202-768","BUTTE CREEK ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",6,2,8,"Existing Impairment","Current",3,0,3,NA,NA,NA
"100","15060203-024","FOSSIL CREEK ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",12,3,15,"New Impairment","Current",3,0,3,NA,"Impaired.  Exceedances collected under normal flow conditions.","44176"
"101","15060203-049B","PINE CREEK (PIE) ","FBC","FBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",2,2,4,"New Impairment","Current",3,0,1,NA,"Not impaired. One exceedance baseflow and the other is stormflow.  Critical conditions not met.","43763"
"102","15070101-008","GILA RIVER ","AWEDWChronic","AWEDW","SELENIUM","Total","Not meeting criteria","No",0,10,10,"Existing Impairment","Current",3,1,3,NA,NA,NA
"103","15070101-010","GILA RIVER ","AWEDWChronic","AWEDW","SELENIUM","Total","Not meeting criteria","No",1,6,7,"Existing Impairment","Current",3,0,3,NA,NA,NA
"104","15070102-002","NEW RIVER ","PBC","PBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,3,NA,"Impaired.  Both exceedances taken at normal flow.","44228"
"105","15070102-003","SKUNK CREEK ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,3,NA,"Impaired.","43948"
"106","15070102-003","SKUNK CREEK ","PBC","PBC","ESCHERICHIA COLI","Total","Not meeting criteria","No",0,2,2,"New Impairment","Current",3,0,3,NA,"Impaired","44249"
"107","15070102-029","AGUA FRIA RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",2,2,4,"New Impairment","Current",3,0,3,NA,"Impaired.  4/15/19 and 11/6/18 samples both stable.","43896"
"108","15070102-031B","AGUA FRIA RIVER ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",10,3,13,"New Impairment","Current",3,0,3,NA,"Follow up. Confirmed Impaired. Exceedances on 1/22/15 and 4/22/17 collected under stable conditions.  Exceedance on 3/15/17 on tail end of hydrograph is not stable and is excluded.  Impairment based on 2 of 9 samples. Need to follow up w/Nick Paretti @USGS.","43482"
"109","15070102-031B","AGUA FRIA RIVER ","AWWChronic","AWW","ZINC","Dissolved","Not meeting criteria","No",10,2,12,"New Impairment","Current",3,0,3,NA,"Impaired.  April 2017 and 2019 samples with exceedances both at base flow.","43836"
"110","15070102-033A","LYNX CREEK ","AWCChronic","AWC","CADMIUM","Dissolved","Not meeting criteria","No",0,7,7,"New Impairment","Current",3,0,3,NA,"Confirmed Impaired.  4 chronic exceedances out of 4 samples.  2 confirmed stable samples taken on 4/26/17 and 6/7/18.  The other two samples are excluded because they are not collected under stable conditions within 4 days of sampling. 4/26/17 and 6/7/16 would both still exceed the new standard.","43482"
"111","15070102-033A","LYNX CREEK ","AWCAcute","AWC","COPPER","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,3,NA,"Impaired.  Both exceedances taken at normal flow.","43836"
"112","15070102-033A","LYNX CREEK ","AWCChronic","AWC","COPPER","Dissolved","Not meeting criteria","No",4,3,7,"New Impairment","Current",3,0,3,NA,"Impaired.  Both exceedances taken at normal flow.","43836"
"113","15070102-033A","LYNX CREEK ","AWCChronic","AWC","SELENIUM","Total","Not meeting criteria","No",5,2,7,"New Impairment","Current",3,0,1,NA,"Not impaired.  8/7/19 sample storm flow therefore not stable conditions.","44018"
"114","15070102-033A","LYNX CREEK ","AWCAcute","AWC","ZINC","Dissolved","Not meeting criteria","No",1,2,3,"New Impairment","Current",3,0,3,NA,"Remains impaired.","43756"
"115","15070102-033A","LYNX CREEK ","AWCChronic","AWC","ZINC","Dissolved","Not meeting criteria","No",1,6,7,"New Impairment","Current",3,0,3,NA,"Confirmed Impaired.  4 chronic exceedances out of 4 samples.  2 confirmed stable samples taken on 4/26/17 and 6/7/18.  The other two samples are excluded because they are not collected under stable conditions within 4 days of sampling. 4/26/17 and 6/7/16 would both still exceed the new standard.","43482"
"116","15070102-034A","BIG BUG CREEK ","AWCAcute","AWC","CADMIUM","Dissolved","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,3,NA,"Impaired. 4 exceedances out of 4 samples","44074"
"117","15070102-034A","BIG BUG CREEK ","AWCChronic","AWC","CADMIUM","Dissolved","Not meeting criteria","No",0,5,5,"New Impairment","Current",3,0,1,NA,"Not impaired.  2/15/19 sample stormflow.  12/18/18 exceedance was baseflow","43595"
"118","15070102-034A","BIG BUG CREEK ","AWCChronic","AWC","SELENIUM","Total","Not meeting criteria","No",5,2,7,"New Impairment","Current",3,0,1,NA,"Not impaired.  5/10/19 sample likely influenced by 5/8/19 storm and not stable.","44082"
"119","15070102-034A","BIG BUG CREEK ","AWCAcute","AWC","ZINC","Dissolved","Not meeting criteria","No",0,4,4,"New Impairment","Current",3,0,3,NA,"Confirmed Impaired.  2 acute exceedances out of 2 samples","43595"
"120","15070102-034A","BIG BUG CREEK ","AWCChronic","AWC","ZINC","Dissolved","Not meeting criteria","No",0,5,5,"New Impairment","Current",3,0,3,NA,"Confirmed Impaired.  2 acute exceedances out of 2 samples","43595"
"121","15070102-034B","BIG BUG CREEK ","AWWAcute","AWW","COPPER","Dissolved","Not meeting criteria","No",5,4,9,"New Impairment","Current",3,0,3,NA,"Confirmed impaired.","43558"
"122","15070102-034B","BIG BUG CREEK ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",17,5,22,"New Impairment","Current",3,0,3,NA,"Confirmed impaired.","43558"
"123","15070102-034B","BIG BUG CREEK ","AWWChronic","AWW","IRON","Dissolved","Not meeting criteria","No",7,2,9,"New Impairment","Current",3,0,1,NA,"Not impaired.  Chronic conditions not stable.  Collected during storm events.","43539"
"124","15070102-034B","BIG BUG CREEK ","AWWChronic","AWW","LEAD","Dissolved","Not meeting criteria","No",17,4,21,"New Impairment","Current",3,0,1,NA,"Not impaired.  Chronic conditions not stable.  Collected during storm events.","43539"
"125","15070102-034B","BIG BUG CREEK ","AWWChronic","AWW","SELENIUM","Total","Not meeting criteria","No",16,3,19,"New Impairment","Current",3,0,1,NA,"Not impaired.  Chronic conditions not stable.  Collected during storm events.","43539"
"126","15070102-036B","TURKEY CREEK ","AWWChronic","AWW","COPPER","Dissolved","Not meeting criteria","No",7,2,9,"Existing Impairment","Current",3,0,1,NA,"Delisted in 2020 Assessment","43658"
"127","15070102-123","MONEY METALS TRIB ","AWEAcute","AWE","COPPER","Dissolved","Not meeting criteria","No",0,5,5,"Existing Impairment","Current",3,0,3,NA,NA,NA
"128","15070102-123","MONEY METALS TRIB ","AWEAcute","AWE","ZINC","Dissolved","Not meeting criteria","No",0,5,5,"Existing Impairment","Current",3,0,3,NA,NA,NA
"129","15070102-124","UNNAMED TRIB TO LYNX CREEK ","AWCChronic","AWC","CADMIUM","Dissolved","Not meeting criteria","No",0,3,3,"New Impairment","Current",3,0,1,NA,"Not impaired.  Only 5/21/19 sample collected under normal flow conditions.","43836"
